Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
HDJ0TG;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
L7WIBQ;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HW361G;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
T93TW6;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
F3JEVR;5;7;7;10,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;
F8VG1P;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
EK4EHU;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
BJCZCM;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
OMSE54;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
MPMTJO;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
VMTCD5;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
NZVJQX;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BEHLIY;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
GTZEKT;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
SPS3FG;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HJGVZR;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NUXIHJ;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
XXWQMC;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
SC7B1S;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Z9KNDM;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IUCYH3;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
RVSYUN;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
YVTLHV;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Q16GRO;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
X443K6;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
XSVKV3;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CG0A40;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
KQU14Y;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
H105LY;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CWE0UQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
HEDD2F;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
ORFEMQ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
Y40N39;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
F7MSYN;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FVTV21;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
J45HCZ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AZ1SU2;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
FSPRDA;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
T7IP2A;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
UE0W8A;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
M4J74G;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A8MVUR;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
PI5502;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
A3TH85;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TNVNMG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FSXDG2;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
J0YBWQ;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
JL7ID0;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CLVK5J;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HRPHKI;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
H2P5VN;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BOVP69;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
M9AW4L;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
X3H7GU;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
ADC1RL;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
JDMXIK;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
EM9IOT;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
XLB6AI;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BPG8OQ;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BSZ4P6;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
C2GYD9;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
AX6T95;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
AA9NDR;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
HQ21TL;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
ASM6X9;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
NAI0MP;10;2;2;3;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
TAMK69;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
IICPLE;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
CXV8C9;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
CJ56UX;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
G3IHF2;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
B88L2M;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
SI60QK;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
RHVS0R;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
AOYY0H;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
QFASYW;12;0;0;0;-2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
PC2ZKQ;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
BSJOR6;8;4;4;6;1,5;1,5;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
LQIVY1;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
HXGGVH;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
YUZO8E;12;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
