Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
Y6Y86W;0;12;4;6;0;0;0;0;0;0;0;1,5;0;1,5;1,5;1,5;
B9TROT;0;12;6;9;0;1,5;0;1,5;1,5;1,5;1,5;1,5;0;0;0;0;
I3C7IN;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
XD39JE;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
I1KMDY;0;12;9;13,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;0;0;
WBIOKJ;11;1;1;1,5;1,5;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
EKHWVM;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
HE53B7;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
A4JS23;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;
TQJ1LW;0;12;10;15;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
G1IJA8;0;12;10;15;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;0;
ASDVWE;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
X2J7X5;0;12;9;13,5;1,5;1,5;0;1,5;1,5;0;1,5;1,5;0;1,5;1,5;1,5;
GQP1LG;12;0;0;0;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;
M84SOR;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CL9PDM;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
J5FEDL;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;
FGVH3L;0;12;4;6;0;0;0;0;0;1,5;0;0;0;1,5;1,5;1,5;
GDQ7VW;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
RMX3CH;0;12;10;15;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
CG0A40;0;12;8;12;1,5;1,5;1,5;1,5;1,5;0;0;0;0;1,5;1,5;1,5;
YP759V;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
IJDGEB;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CBCBPH;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GJ53XK;0;12;3;4,5;0;0;0;0;0;0;0;0;0;1,5;1,5;1,5;
TPBL86;0;12;10;15;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
D3VMWQ;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
CCZ0VP;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
WGIXWV;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
VQR83Z;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
DLV3P3;0;12;8;12;0;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;0;0;1,5;
YLU9XK;0;12;10;15;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
TY6AD8;0;12;6;9;1,5;1,5;1,5;0;0;0;0;0;0;1,5;1,5;1,5;
G3OXTG;0;12;2;3;0;0;0;0;0;0;0;0;0;0;1,5;1,5;
JC5DHS;0;12;8;12;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;0;0;
IAIPQ4;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JEUJUO;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
RBLNPH;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GOVJHF;0;12;9;13,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;
M1BK35;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
D7UD8E;0;12;10;15;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;0;
H7SRGW;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
AN3OY6;0;12;8;12;0;1,5;0;0;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
AWZ3KM;0;12;9;13,5;0;1,5;1,5;1,5;1,5;1,5;1,5;0;0;1,5;1,5;1,5;
FOS6P8;12;0;0;0;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;
AZY24W;0;12;9;13,5;0;0;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
DG3CRM;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;
EJEM5T;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
GVVL7Y;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
CH42RA;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
MDRWRJ;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
EO3KH7;0;12;3;4,5;0;0;1,5;0;0;0;0;0;0;0;1,5;1,5;
HW361G;0;12;5;7,5;0;0;0;0;0;0;1,5;1,5;0;1,5;1,5;1,5;
